# combo=loongarch-glibc
# source=/mnt/d/OS/F7LY/tools/ltp/judge/v1/outputs/loongarch-glibc/parsed.tsv

Combo            | Case Name                | TPASS  | Summary    | Status       | End   
loongarch-glibc  | waitpid09                | 4      | yes/4      | PASS         | 0     
loongarch-glibc  | getrusage02              | 3      | yes/4      | PASS         | 0     
loongarch-glibc  | in6_02                   | 3      | yes/4      | PASS         | 0     
loongarch-glibc  | msgrcv01                 | 3      | yes/4      | FAIL         | 1     
loongarch-glibc  | alarm05                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | bind03                   | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | capset01                 | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | chdir04                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | close01                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | dup07                    | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | dup3_02                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | epoll_ctl01              | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | epoll_wait01             | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | eventfd03                | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | eventfd04                | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | faccessat01              | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | fcntl29                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | fcntl29_64               | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | fcntl37                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | fcntl37_64               | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | flock01                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | flock02                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | flock03                  | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | fork04                   | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | futex_cmp_requeue02      | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | getcwd02                 | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | getitimer02              | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | getpriority01            | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | gettimeofday01           | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | ioprio_set02             | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | ioprio_set03             | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | kill03                   | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | mmap09                   | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | mremap06                 | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | msgctl12                 | 3      | yes/3      | PASS         | 0     
loongarch-glibc  | msgsnd01                 | 3      | yes/3      | PASS         | 0     
